Cod. Produto	Descr. Produto	Valor
20084	Luva top media amarela latex ca 40.044 s                	R$ 8.80
13546	Luva vinil sem amido g 100 un inoven                	R$ 18.90
12189	Luva vinil sem amido g 100 un nobre                	R$ 18.90
13618	Luva vinil sem amido m 100 un inoven                	R$ 18.90
13332	Luva vinil sem amido m 100 un medix                	R$ 18.90
12191	Luva vinil sem amido p 100 un nobre.                	R$ 18.90
11579	Lysoform 1 l original johnson                	R$ 16.90
21885	Lysoform 360 ml aerossol original johnso                	R$ 28.90
13301	Mascara cirurgica tripla com elastico 50                	R$ 13.90
31151	Mop po refil rp 400 40 cm bralimpia                	R$ 28.65
31155	Mop po refil rp 600 60 cm bralimpia                	R$ 42.86
11228	Oleo de peroba 100 ml                	R$ 12.90
31935	Pa de lixo coletora plastica perfect pro                	R$ 24.90
31287	Pa de lixo coletora plastica ref 158 odi                	R$ 38.90
30094	Pa de lixo plastica formato l com cabo                	R$ 3.45
30092	Pa de lixo plastica jeitosa bettanin                	R$ 19.90
31216	Pa de lixo plastica ref. 15114 odim                	R$ 3.12
120211	Palha de aco 20 un vieira n 2                	R$ 25.50
37054	Pano de microfibra 40 cm x 60 cm azul 01                	R$ 14.50
10552	Pano multiuso 5 un inoven                	R$ 0.00
13222	Pano rolo 25 m x 28 cm azul 01 un inoven                	R$ 16.20
11936	Pano rolo 25 m x 28 cm azul 01 un lifecl                	R$ 16.20
11866	Pano rolo 300 m x 33 cm x 45 gr branco o                	R$ 287.50
50295	Papel hig. folha dupla 64 rolos neve                	R$ 154.00
50336	Papel hig. folha dupla 64 rolos personal                	R$ 103.00
50313	Papel hig. kai-kai fl dupla 8000 fl impa                	R$ 108.00
50318	Papel hig. rolao 300 m x 8 rolos impaper                	R$ 56.00
50353	Papel hig. rolao fl dupla 250 m x 8 rolo                	R$ 89.90
21099	Pastilha adesiva 3 un pato                	R$ 10.95
29073	Pedra sanitaria lavanda harpic                	R$ 3.99
140054	Placa cuidado piso molhado pl 2000 brali                	R$ 47.85
170461	Porta higienico rolao branco su-rols04 i                	R$ 26.90
170240	Porta saquinho para absorvente t-020724                	R$ 7.99
170462	Porta toalha interfolha branco su-ints04                	R$ 26.90
90107	Purificador de ar lavanda 360 ml bom ar                	R$ 16.90
90103	Purificador de ar lavanda 360 ml glade                	R$ 16.90
90105	Purificador de ar lembranca infancia 360                	R$ 16.90
90097	Purificador de ar ultra fresh capim lima                	R$ 8.90
30086	Raspador de seguranca 4 cm rv 040 bralim                	R$ 59.80
31262	Refil de la para limpa vidros ll350 35 c                	R$ 13.80
29044	Removedor 900 ml gitanes                	R$ 15.46
20768	Removedor de cera 5 l remotion audax                	R$ 92.30
31290	Rodo plastico duplo 40 cm cabo 1,20 m x                	R$ 12.50
31738	Rodo plastico duplo 45 cm push com cabo                	R$ 28.85
31217	Rodo plastico duplo 60 cm sem cabo                	R$ 5.26
32162	Rodo plastico multiuso 40 cm com cabo re                	R$ 16.90
29183	Sabao em pedra 180 g glicerinado ype                	R$ 3.39
29133	Sabao em pedra 200 g conde                	R$ 2.29
29378	Sabao em pedra 5 un x 160 g glicerinado                	R$ 16.95
29203	Sabao em po 800 g caixinha tyxan                	R$ 15.45
69916	Sabonete liq. erva doce 5 l soft plus t-                	R$ 24.80
60466	Sabonete liq. por do sol 5 l all clean                	R$ 28.00
60318	Sabonete refil erva doce 800 ml t-p800ed                	R$ 11.95
170439	Saboneteira montana bca com reservatorio                	R$ 33.80
170463	Saboneteira para refil su-16sab impakto                	R$ 23.30
31070	Saco alvejado grande especial ref. 1050                	R$ 6.80
31066	Saco alvejado grande un                	R$ 4.39
32254	Saco alvejado grande un diamante                	R$ 4.39
30155	Saco alvejado xadrez un                	R$ 3.50
44442	Saco coletor para carro america amarelo                	R$ 89.90
41640	Saco de lixo 100 l amarelo                	R$ 51.60
40265	Saco de lixo 100 l azul                	R$ 46.97
41616	Saco de lixo 100 l marrom                	R$ 51.60
40361	Saco de lixo 100 l preto especial                	R$ 111.83
40356	Saco de lixo 100 l preto p.20                	R$ 51.60
40157	Saco de lixo 100 l transparente colibri                	R$ 38.90
41266	Saco de lixo 100 l transparente kubera                	R$ 48.00
41581	Saco de lixo 100 l verde                	R$ 46.19
41250	Saco de lixo 100 l vermelho                	R$ 51.60
41580	Saco de lixo 20 l amarelo                	R$ 15.51
41638	Saco de lixo 20 l azul                	R$ 17.95
41625	Saco de lixo 20 l preto especial                	R$ 21.00
40040	Saco de lixo 20 l preto i.t                	R$ 12.90
40173	Saco de lixo 20 l transparente                	R$ 15.00
41575	Saco de lixo 20 l verde                	R$ 15.51
41599	Saco de lixo 20 l vermelho                	R$ 18.00
41235	Saco de lixo 200 l preto comum                	R$ 58.00
41622	Saco de lixo 200 l preto reforcado                	R$ 86.83
41635	Saco de lixo 200 l transparente colibri                	R$ 36.84
41602	Saco de lixo 40 l azul                	R$ 22.87
41624	Saco de lixo 40 l preto especial                	R$ 27.00
40041	Saco de lixo 40 l preto i.t                	R$ 21.00
40107	Saco de lixo 40 l transparente colibri                	R$ 16.00
44452	Saco de lixo 40 l verde                	R$ 25.00
41600	Saco de lixo 40 l vermelho                	R$ 22.90
41579	Saco de lixo 60 l amarelo                	R$ 33.00
41601	Saco de lixo 60 l azul                	R$ 33.00
41574	Saco de lixo 60 l cinza                	R$ 33.00
41573	Saco de lixo 60 l marrom                	R$ 33.00
41623	Saco de lixo 60 l preto especial                	R$ 32.00
40042	Saco de lixo 60 l preto i.t                	R$ 28.00
41641	Saco de lixo 60 l transparente colibri                	R$ 28.00
40312	Saco de lixo 60 l transparente reforcado                	R$ 45.00
41576	Saco de lixo 60 l verde                	R$ 30.29
41606	Saco de lixo 60 l vermelho                	R$ 30.61
41990	Saco leitoso 100 l infectante embalacfle                	R$ 39.00
41987	Saco leitoso 15 l infectante embalacflex                	R$ 16.50
41988	Saco leitoso 30 l infectante embalacflex                	R$ 16.50
41989	Saco leitoso 50 l infectante embalacflex                	R$ 27.50
41637	Saco para aspirador mod a 20 3 un ref. 1                	R$ 15.75
21294	Saponaceo cremoso 300 ml facilita                	R$ 3.99
20073	Saponaceo cremoso classico 250 ml radium                	R$ 8.85
29066	Saponaceo cremoso limao 250 ml radium                	R$ 8.85
31264	Suporte lt com rosca azul sr 300 bralimp                	R$ 14.20
30023	Suporte protetor de assento 01 unidade s                	R$ 32.90
